rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7AOJcugo17Kr1WUheSI6Oq","Luca-Dante Spadafora, Niklas Dee, Octavian, Peter Plate, Ulf Leo Sommer","Mädchen auf dem Pferd","Zeitgeist",1,1,10,"3155749"
2,"spotify:track:7oQepKHmXDaPC3rgeLRvQu","Udo Lindenberg, Apache 207","Komet","Warner Music Central Europe",1,2,28,"2826535"
3,"spotify:track:5YWu6dt50Nieq8qi572RF8","SIRA, Bausa, badchieff","9 bis 9","Four Music/SIRA",3,4,12,"2615714"
4,"spotify:track:42VsgItocQwOQC3XWZ8JNA","Travis Scott, Playboi Carti","FE!N (feat. Playboi Carti)","Cactus Jack/Epic",4,-1,1,"2455868"
5,"spotify:track:6tAKikIvnoWfUeZrfkopLL","Ski Aggu, Joost, Otto Waalkes","Friesenjung","jungeratze & Albino Sports",1,3,10,"2432205"
6,"spotify:track:0QlOkt8nkZ8zqu8xb2SHU8","Niklas Dee, Old Jim, Enny-Mae","Not Fair","Astralwerks",6,7,8,"2211221"
7,"spotify:track:42Ztw2ZtZR3mtWjXpg0R5I","Yung Yury, Damn Yury","TABU.","5Zero",1,6,17,"2183941"
8,"spotify:track:1CknK1sYAhoYxZEs5OfqEq","Ski Aggu, SIRA","mietfrei","Bamboo Artist & Label Services",4,5,3,"2153282"
9,"spotify:track:67nepsnrcZkowTxMWigSbb","Travis Scott, Drake","MELTDOWN (feat. Drake)","Cactus Jack/Epic",9,-1,1,"1880394"
10,"spotify:track:741UUVE2kuITl0c6zuqqbO","Nicki Minaj, Ice Spice, Aqua","Barbie World (with Aqua) [From Barbie The Album]","Atlantic Records",10,27,5,"1804025"
11,"spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q","Billie Eilish","What Was I Made For? [From The Motion Picture ""Barbie""]","Darkroom/Interscope Records",11,24,3,"1759860"
12,"spotify:track:1PH2MDbcBAU094DlgTIND1","Travis Scott","THANK GOD","Cactus Jack/Epic",12,-1,1,"1755897"
13,"spotify:track:5OXgrcI2K6erTLMTlEJ23H","AYLIVA","Weißes Haus","Whiteheart Records/WM Germany",7,8,3,"1717597"
14,"spotify:track:0l63sFDKc4r4GLANRmjcBu","Symba","Playboys weinen auch","Columbia/Symba",14,-1,1,"1693826"
15,"spotify:track:0hL9gOw6XBWsygEUcVjxEc","Travis Scott","HYAENA","Cactus Jack/Epic",15,-1,1,"1685591"
16,"spotify:track:1odExI7RdWc4BT515LTAwj","David Kushner","Daylight","Miserable Music Group, LLC",3,9,16,"1645391"
17,"spotify:track:4rXLjWdF2ZZpXCVTfWcshS","Gunna","fukumean","300 Entertainment",10,10,7,"1638416"
18,"spotify:track:3AjSfp5FDvwtMU9XBsbS8j","Creeds","Push Up - Main Edit","Columbia/B1 Recordings",13,13,16,"1593551"
19,"spotify:track:5L3ecxQnQ9qTBmnLQiwf0C","Travis Scott, Bad Bunny, The Weeknd","K-POP","Cactus Jack/Epic",14,14,2,"1544121"
20,"spotify:track:4kjI1gwQZRKNDkw1nI475M","Travis Scott","MY EYES","Cactus Jack/Epic",20,-1,1,"1521004"
21,"spotify:track:6wsqVwoiVH2kde4k4KKAFU","Travis Scott","I KNOW ?","Cactus Jack/Epic",21,-1,1,"1461896"
22,"spotify:track:2FDTHlrBguDzQkp7PVj16Q","Dave, Central Cee","Sprinter","Neighbourhood / Live Yours",12,12,9,"1453313"
23,"spotify:track:5TYmnScjaRecWuBqEaA7S5","01099, Paul, Ski Aggu","Anders","01099/WM Germany",7,17,15,"1388819"
24,"spotify:track:6WzRpISELf3YglGAh7TXcG","The Weeknd, Playboi Carti, Madonna","Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)","XO / Republic Records",19,20,9,"1359348"
25,"spotify:track:1vYXt7VSjH9JIM5oRRo7vA","Dua Lipa","Dance The Night - From Barbie The Album","Atlantic Records",25,43,8,"1357526"
26,"spotify:track:0lodMO0qK83vfPiiD7FMEt","Travis Scott, Rob49, 21 Savage","TOPIA TWINS (feat. Rob49 & 21 Savage)","Cactus Jack/Epic",26,-1,1,"1347392"
27,"spotify:track:4ORixxN5kLrSgSwwuttB4t","AYLIVA","In deinen Armen","Whiteheart Records/WM Germany",3,18,7,"1341313"
28,"spotify:track:6fsbuVwtZHq8bCfUOfmkNL","Apache 207","Breaking your heart","Four Music/Feder Musik",2,22,18,"1289016"
29,"spotify:track:4rHhOF2PvCPYbQsLxUKsUG","Jamal, HoodBlaq","SCHWARZ","Columbia/BE.ELA.QU GmbH",29,-1,1,"1284136"
30,"spotify:track:3IhM5Mber8KA0NaRNpK2px","Tiësto","Lay Low","Atlantic Records",12,25,30,"1279935"
31,"spotify:track:0OEe83mMZ5kaNw5uZQ7ilG","Travis Scott, Beyoncé","DELRESTO (ECHOES) (feat. Beyoncé)","Cactus Jack/Epic",31,-1,1,"1270789"
32,"spotify:track:3KCNiDi9Pza6ZD8FggNoaw","Travis Scott, Teezo Touchdown","MODERN JAM (feat. Teezo Touchdown)","Cactus Jack/Epic",32,-1,1,"1193056"
33,"spotify:track:2FiJGvN3fiXMwms9IftNV0","FiNCH, Tream","LiEBE AUF DER RÜCKBANK","Walk This Way Records",19,30,9,"1184042"
34,"spotify:track:1D0kYwRjSpYq7s7iieS8Oi","Bobby Vandamme","Brazil Funk Freestyle 🇧🇷","RCA/GOLD LEAGUE/GOVA Ent.",10,19,3,"1180954"
35,"spotify:track:13sDAmZXzKXctwIIvL9RFd","Dhurata Dora, RAF Camora","PALMA","Epic/Ilir Balija",35,-1,1,"1161432"
36,"spotify:track:3BKD1PwArikchz2Zrlp1qi","David Guetta, Anne-Marie, Coi Leray","Baby Don't Hurt Me","Parlophone UK",17,31,17,"1161039"
37,"spotify:track:3dgOu83QnvkooEa4Jz2Msr","Jazeek","Superstars","NINETYNINE MUSIC x Good Kid Records x VENTURA Records",30,46,5,"1154483"
38,"spotify:track:7AyE8MRf4dIK75mqqpks9S","Nina Chuba","Mangos mit Chili","Jive",4,32,26,"1144819"
39,"spotify:track:7LSpFCvRZZot2AlmkUzy9k","Travis Scott","SIRENS","Cactus Jack/Epic",39,-1,1,"1143834"
40,"spotify:track:04WxWo7XeVyx22xEsrWRUb","Travis Scott","GOD'S COUNTRY","Cactus Jack/Epic",40,-1,1,"1134426"
41,"spotify:track:5EqZIbLptCkJARJXOdseF9","Bonez MC","So🤞","187 Strassenbande",3,16,4,"1124762"
42,"spotify:track:1i9lZvlaDdWDPyXEE95aiq","Travis Scott, SZA, Future","TELEKINESIS (feat. SZA & Future)","Cactus Jack/Epic",42,-1,1,"1105821"
43,"spotify:track:2hFOXN8Eq2gXIGGMIdHdWJ","Ski Aggu, Endzone, Ericson","Party Sahne","jungeratze",24,34,43,"1094375"
44,"spotify:track:5atei5eVpWKUJj5olSI32L","Apache 207","Wenn das so bleibt","Four Music/Feder Musik",1,29,11,"1081711"
45,"spotify:track:4DHcnVTT87F0zZhRPYmZ3B","Miley Cyrus","Flowers","Columbia",1,33,29,"1073547"
46,"spotify:track:3879mntZAUN5J9ejHjjvpr","Tream, treamiboii","Zelten auf Kies","3AM MUSIC",32,36,12,"1046475"
47,"spotify:track:3k79jB4aGmMDUQzEwa46Rz","Olivia Rodrigo","vampire","Olivia Rodrigo PS",12,35,5,"1038370"
48,"spotify:track:5w40ZYhbBMAlHYNDaVJIUu","Post Malone","Chemical","Mercury Records/Republic Records",15,72,16,"1034241"
49,"spotify:track:4ISoGiS2XVfeFLO0PgVYAk","RAF Camora, HoodBlaq","Tropicana","Indipendenza",6,15,3,"1033314"
50,"spotify:track:6LBmaJYwbLHfQwIreMCLlw","Nina Chuba","Wildberry Lillet","Jive",1,41,51,"1032534"
51,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",39,39,6,"1030299"
52,"spotify:track:1uUgy87UHT9rlbxHirty3g","Peter Fox, Inéz","Zukunft Pink (feat. Inéz)","Warner Music Central Europe",1,38,41,"1024587"
53,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",4,44,43,"1024574"
54,"spotify:track:0bkV1iQHSxBaksUqgEkcbc","Travis Scott, Young Thug","SKITZO (feat. Young Thug)","Cactus Jack/Epic",54,-1,1,"999311"
55,"spotify:track:7x9aauaA9cu6tyfpHnqDLo","Jung Kook, Latto","Seven (feat. Latto)","BIGHIT MUSIC",16,26,3,"988819"
56,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",2,48,49,"987443"
57,"spotify:track:4NzErsS5WlVRFxRORXKWch","1986zig","Sunshine","Polydor x Island Records & Good Kid Records",48,52,6,"976313"
58,"spotify:track:4GL9GMX9t7Qkprvf1YighZ","Travis Scott, The Weeknd, Swae Lee","CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee)","Cactus Jack/Epic",58,-1,1,"971862"
59,"spotify:track:3caxdAr1m31mOuKS5g7LwQ","Apache 207","Neunzig","Four Music/Feder Musik",1,45,14,"951402"
60,"spotify:track:62NrIrsxxNXJVvtRivWYjM","Ikke Hüftgold, Schürze, DJ Robin","Bumsbar","Summerfield Records",6,42,14,"916007"
61,"spotify:track:76gcXhY3Zv6wW0BTe9nHJo","Travis Scott, James Blake, 21 Savage","TIL FURTHER NOTICE (feat. James Blake & 21 Savage)","Cactus Jack/Epic",61,-1,1,"899871"
62,"spotify:track:7DyDjhZMEIK5Ied4juTCyc","AYLIVA, MERO","Sie weiß (feat. Mero)","Whiteheart Records/WM Germany",1,58,30,"892573"
63,"spotify:track:6G6vaX3CKRD3OJbVUaPM9f","Gzuz, The Cratez","Was macht Gzuz?!","GOLD LEAGUE/RBK",11,11,2,"886616"
