rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7oQepKHmXDaPC3rgeLRvQu","Udo Lindenberg, Apache 207","Komet","Warner Music Central Europe",1,1,5,"4502598"
2,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,2,6,"3590918"
3,"spotify:track:7DyDjhZMEIK5Ied4juTCyc","AYLIVA, MERO","Sie weiß (feat. Mero)","Whiteheart Records/WM Germany",1,3,7,"3052151"
4,"spotify:track:11eYmv0tA3wEoyD1Sad2Nv","Nina Chuba","Mangos mit Chili","Jive",4,6,3,"1990321"
5,"spotify:track:473iuBry5Y4SSx9AGw9LLw","Bonez MC, Gzuz","Sturkopf (mit ner Glock)","187 Strassenbande",4,4,2,"1896432"
6,"spotify:track:3i5mGA6jZN6Mk8bmcE7Jbz","Ufo361","NUR SIE DARF","Stay High",6,41,2,"1795461"
7,"spotify:track:4YxZQd3I4rj1nqkXgvpCk4","Peter Fox, Inéz","Zukunft Pink (feat. Inéz)","WM Germany",1,9,18,"1755860"
8,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",2,12,26,"1687096"
9,"spotify:track:7sJNeWTXkZCEC7OnFMpGWL","Luciano, Aitch, BIA","Bamba (feat. Aitch & BIA)","URBAN",1,13,22,"1653680"
10,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",5,11,12,"1600438"
11,"spotify:track:5mHdCZtVyb4DcJw8799hZp","RAYE, 070 Shake","Escapism.","Human Re Sources",8,10,13,"1597444"
12,"spotify:track:373gDROnujxNTFa1FojYIl","Linkin Park","Lost","Warner Records",5,5,2,"1549343"
13,"spotify:track:5VW0tcO5dVmLUhWiQh028D","AK AUSSERKONTROLLE","WIEDER DA","XY Records",13,-1,1,"1519587"
14,"spotify:track:4AdhQGPnOKrH0EJWXc2EEM","Samra","1995","Cataleya Edition",7,7,2,"1505354"
15,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",6,15,20,"1498835"
16,"spotify:track:3giuo1sDdkKHIPJbsvLQhS","reezy","DOCTOR","Four Music/2022 TEENAGER FOREVER Ent.",16,-1,1,"1494518"
