rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7AOJcugo17Kr1WUheSI6Oq","Luca-Dante Spadafora, Niklas Dee, Octavian, Peter Plate, Ulf Leo Sommer","Mädchen auf dem Pferd","Zeitgeist",1,1,9,"3197245"
2,"spotify:track:7oQepKHmXDaPC3rgeLRvQu","Udo Lindenberg, Apache 207","Komet","Warner Music Central Europe",1,3,27,"3009506"
3,"spotify:track:6tAKikIvnoWfUeZrfkopLL","Ski Aggu, Joost, Otto Waalkes","Friesenjung","jungeratze & Albino Sports",1,2,9,"2772830"
4,"spotify:track:5YWu6dt50Nieq8qi572RF8","SIRA, Bausa, badchieff","9 bis 9","Four Music/SIRA",4,8,11,"2558500"
5,"spotify:track:1CknK1sYAhoYxZEs5OfqEq","Ski Aggu, SIRA","mietfrei","Bamboo Artist & Label Services",4,4,2,"2394313"
6,"spotify:track:42Ztw2ZtZR3mtWjXpg0R5I","Yung Yury, Damn Yury","TABU.","5Zero",1,5,16,"2392864"
7,"spotify:track:0QlOkt8nkZ8zqu8xb2SHU8","Niklas Dee, Old Jim, Enny-Mae","Not Fair","Astralwerks",7,9,7,"2271583"
8,"spotify:track:5OXgrcI2K6erTLMTlEJ23H","AYLIVA","Weißes Haus","Whiteheart Records/WM Germany",7,7,2,"2051769"
9,"spotify:track:1odExI7RdWc4BT515LTAwj","David Kushner","Daylight","Miserable Music Group, LLC",3,15,15,"1743494"
10,"spotify:track:4rXLjWdF2ZZpXCVTfWcshS","Gunna","fukumean","300 Entertainment",10,21,6,"1721588"
11,"spotify:track:6G6vaX3CKRD3OJbVUaPM9f","Gzuz, The Cratez","Was macht Gzuz?!","GOLD LEAGUE/RBK",11,-1,1,"1658999"
12,"spotify:track:2FDTHlrBguDzQkp7PVj16Q","Dave, Central Cee","Sprinter","Neighbourhood / Live Yours",12,20,8,"1566124"
13,"spotify:track:3AjSfp5FDvwtMU9XBsbS8j","Creeds","Push Up - Main Edit","Columbia/B1 Recordings",13,19,15,"1541374"
14,"spotify:track:5L3ecxQnQ9qTBmnLQiwf0C","Travis Scott, Bad Bunny, The Weeknd","K-POP","Cactus Jack/Epic",14,-1,1,"1541087"
15,"spotify:track:4ISoGiS2XVfeFLO0PgVYAk","RAF Camora, HoodBlaq","Tropicana","Indipendenza",6,6,2,"1540239"
