rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2IGMVunIBsBLtEQyoI1Mu7","Doja Cat","Paint The Town Red","Kemosabe Records/RCA Records",1,7,5,"3812276"
2,"spotify:track:59NraMJsLaMCVtwXTSia8i","cassö, RAYE, D-Block Europe","Prada","Ministry of Sound Recordings",2,3,4,"3786312"
3,"spotify:track:3ilgxZl5g7MOQCUiky3VOG","Pashanim","Ms. Jackson","Urban",1,1,2,"3527057"
4,"spotify:track:7AOJcugo17Kr1WUheSI6Oq","Luca-Dante Spadafora, Niklas Dee, Octavian, Peter Plate, Ulf Leo Sommer","Mädchen auf dem Pferd","Zeitgeist",1,2,15,"3344577"
5,"spotify:track:5YWu6dt50Nieq8qi572RF8","SIRA, Bausa, badchieff","9 bis 9","Four Music/SIRA",2,5,17,"3218825"
6,"spotify:track:31nfdEooLEq7dn3UMcIeB5","BENNETT","Vois sur ton chemin - Techno Mix","Warner Music Central Europe",6,8,5,"3108658"
7,"spotify:track:3an1JVi8OsE0aG6dMS4Pes","AYLIVA","Hässlich","Whiteheart Records/WM Germany",7,15,2,"2949534"
8,"spotify:track:2EbO8k2jAHVRMVvUB77nNt","AYLIVA","Weißes Haus","Whiteheart Records/WM Germany",4,4,8,"2846032"
9,"spotify:track:0gMTEHzNIyvxikxyUFFJxO","Kontra K, Lana Del Rey","Summertime","Letzte Wölfe",1,6,4,"2729081"
10,"spotify:track:0hbq80nqwppsKczeDYlo64","Bushido","Dark Knight","ersguterjunge",10,-1,1,"2522585"
11,"spotify:track:7oQepKHmXDaPC3rgeLRvQu","Udo Lindenberg, Apache 207","Komet","Warner Music Central Europe",1,9,33,"2274104"
12,"spotify:track:4kcgrgZhd4h8chSAJ86mIq","erobé, KXXMA, Lyfrix","EWIGKEIT - REMIX","Off Tape Records & Polydor x Island Records",9,13,7,"2240510"
13,"spotify:track:5mjYQaktjmjcMKcUIcqz4s","Kenya Grace","Strangers","Warner Records/Major Recordings",13,-1,1,"2110400"
14,"spotify:track:0SGtCOR4G9fx9PQq9shKkw","Ski Aggu, $OHO BANI","Theater★","Bamboo Artist & Label Services",4,12,3,"2012497"
15,"spotify:track:6XVSsVuzVUZ2zgRWB5xwef","AYLIVA","In deinen Armen","Whiteheart Records/WM Germany",3,10,12,"2003848"
16,"spotify:track:0QlOkt8nkZ8zqu8xb2SHU8","Niklas Dee, Old Jim, Enny-Mae","Not Fair","Astralwerks",5,16,13,"1959280"
17,"spotify:track:52Y1KkbSO4LI9MTCvZhP9Y","AYLIVA","Scheine zählen","Whiteheart Records/WM Germany",14,14,2,"1922077"
18,"spotify:track:1CknK1sYAhoYxZEs5OfqEq","Ski Aggu, SIRA","mietfrei","Bamboo Artist & Label Services",4,17,8,"1907955"
19,"spotify:track:42Ztw2ZtZR3mtWjXpg0R5I","Yung Yury, Damn Yury","TABU.","5Zero",1,19,22,"1807861"
20,"spotify:track:1VxlVMCopT232hOcBVybyj","AYLIVA","Lass mich gehen","Whiteheart Records/WM Germany",20,23,2,"1663734"
21,"spotify:track:4hcuqPKZS9s8P9jyOamH0M","Ski Aggu","gensehaut","Bamboo Artist & Label Services",21,-1,1,"1634643"
22,"spotify:track:2FiJGvN3fiXMwms9IftNV0","FiNCH, Tream","LiEBE AUF DER RÜCKBANK","Walk This Way Records",17,28,14,"1592106"
23,"spotify:track:3AjSfp5FDvwtMU9XBsbS8j","Creeds","Push Up - Main Edit","Columbia/B1 Recordings",12,31,21,"1527399"
24,"spotify:track:6tAKikIvnoWfUeZrfkopLL","Ski Aggu, Joost, Otto Waalkes","Friesenjung","jungeratze & Albino Sports",1,26,15,"1517467"
25,"spotify:track:1odExI7RdWc4BT515LTAwj","David Kushner","Daylight","Miserable Music Group, LLC",3,30,21,"1431474"
26,"spotify:track:6JUeZ04YG6WIy937AgIPsR","AYLIVA, MERO","Sie weiß (feat. Mero)","Whiteheart Records/WM Germany",1,27,35,"1422573"
27,"spotify:track:5FmcqoKNe4pZqWrCVlVASl","SIRA, Bausa, badchieff, Shirli","9 bis 9 Sped Up - Shirli Version","Four Music/SIRA",27,45,8,"1419257"
28,"spotify:track:2FDTHlrBguDzQkp7PVj16Q","Dave, Central Cee","Sprinter","Neighbourhood / Live Yours",12,33,14,"1398081"
29,"spotify:track:2grS8y9w2vVp7sDJ3RnSx9","twocolors, Safri Duo, Chris de Sarandy","Cynical","Virgin",26,40,8,"1384877"
30,"spotify:track:4rXLjWdF2ZZpXCVTfWcshS","Gunna","fukumean","300 Entertainment",10,34,12,"1372734"
31,"spotify:track:7H3DGTl4bKZAwxyhE5AflC","6PM RECORDS, reezy, Stickle","TRACKIES","Four Music/6PM RECORDS",11,11,2,"1361118"
32,"spotify:track:0JryjPxWDTCBWgjTzuCrBY","AYLIVA","Aber sie","Whiteheart Records/WM Germany",6,29,12,"1317147"
33,"spotify:track:1vYXt7VSjH9JIM5oRRo7vA","Dua Lipa","Dance The Night - From Barbie The Album","Atlantic Records",15,35,13,"1313172"
34,"spotify:track:6fsbuVwtZHq8bCfUOfmkNL","Apache 207","Breaking your heart","Four Music/Feder Musik",2,42,23,"1243769"
35,"spotify:track:3dgOu83QnvkooEa4Jz2Msr","Jazeek","Superstars","NINETYNINE MUSIC x Good Kid Records x VENTURA Records",27,37,10,"1220750"
36,"spotify:track:7pxyUIf4168eTcdry0kFue","AYLIVA","Schwarzes Herz","Whiteheart Records/WM Germany",22,22,2,"1207889"
37,"spotify:track:5TYmnScjaRecWuBqEaA7S5","01099, Paul, Ski Aggu","Anders","01099/WM Germany",7,38,20,"1207545"
38,"spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q","Billie Eilish","What Was I Made For? [From The Motion Picture ""Barbie""]","Darkroom/Interscope Records",9,36,8,"1201746"
