rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7oQepKHmXDaPC3rgeLRvQu","Udo Lindenberg, Apache 207","Komet","Warner Music Central Europe",1,1,4,"5101143"
2,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,2,5,"4360762"
3,"spotify:track:7DyDjhZMEIK5Ied4juTCyc","AYLIVA, MERO","Sie weiß (feat. Mero)","Whiteheart Records/WM Germany",1,3,6,"3490506"
4,"spotify:track:473iuBry5Y4SSx9AGw9LLw","Bonez MC, Gzuz","Sturkopf (mit ner Glock)","187 Strassenbande",4,-1,1,"2846451"
5,"spotify:track:373gDROnujxNTFa1FojYIl","Linkin Park","Lost","Warner Records",5,-1,1,"2387810"
6,"spotify:track:11eYmv0tA3wEoyD1Sad2Nv","Nina Chuba","Mangos mit Chili","Jive",4,4,2,"2385899"
7,"spotify:track:4AdhQGPnOKrH0EJWXc2EEM","Samra","1995","Cataleya Edition",7,-1,1,"2196365"
8,"spotify:track:3GGgcGLYrrpMENcwmsWvbM","Olexesh","Matador","385ideal",8,-1,1,"1926540"
9,"spotify:track:4YxZQd3I4rj1nqkXgvpCk4","Peter Fox, Inéz","Zukunft Pink (feat. Inéz)","WM Germany",1,6,17,"1892348"
10,"spotify:track:5mHdCZtVyb4DcJw8799hZp","RAYE, 070 Shake","Escapism.","Human Re Sources",8,9,12,"1831890"
11,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",5,8,11,"1801496"
12,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",2,7,25,"1753505"
13,"spotify:track:7sJNeWTXkZCEC7OnFMpGWL","Luciano, Aitch, BIA","Bamba (feat. Aitch & BIA)","URBAN",1,11,21,"1726780"
14,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","Capitol Records UK / EMI",2,5,21,"1686027"
15,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",6,13,19,"1613008"
16,"spotify:track:3zkyus0njMCL6phZmNNEeN","Central Cee","LET GO","Central Cee",4,14,9,"1472936"
17,"spotify:track:07gGSxcPN5iEnszYgtx73S","CRO","Sie","BMG Rights Management",17,-1,1,"1419921"
18,"spotify:track:6bwKe4LzFLvoXRYtHpims4","Bobby Vandamme","Ewa Zina","MORAL GmbH/WM Germany",10,10,2,"1405328"
19,"spotify:track:7jYwZOptDPesQgzj7vhsEF","Rubi, FABE BROWN","ONLY 4 LIFE - Remix","Polydor",19,25,6,"1376532"
20,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",13,23,9,"1323535"
21,"spotify:track:6BePGk3eCan4FqaW2X8Qy3","Tiësto, Tate McRae","10:35","Atlantic Records",20,20,15,"1300145"
22,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",10,18,102,"1297731"
23,"spotify:track:6yeZM8gyykjaf8w0GqRfK4","Nina Chuba","Wildberry Lillet","Jive",1,17,27,"1272623"
24,"spotify:track:3FRgRHgWULSa5qR6NWVnyJ","KALIM","wraith","Urban",24,-1,1,"1260453"
25,"spotify:track:0eawqqWr7RvuJZRiKHUd3R","Pajel, VOLO, Hanybal","Blocckind (feat. VOLO & Hanybal)","Epic/DOPE",25,-1,1,"1243536"
26,"spotify:track:1z9NVyu6rOFQR57vA94xbR","Nina Chuba","Glatteis","Jive",11,16,11,"1241695"
27,"spotify:track:6e180XtptMddkCejgq7o8K","AK AUSSERKONTROLLE, Pashanim","6561","XY Records",4,12,4,"1223945"
28,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",7,22,17,"1197313"
29,"spotify:track:7AuMPJMHY3TYeZEZsEy0CF","Dardan, Hava","mailbox (feat. Hava)","Hypnotize Entertainment",5,77,14,"1157080"
30,"spotify:track:3JOV6IFlO4cviGK2cqeTVQ","Ski Aggu, Endzone, Ericson","Party Sahne","jungeratze",24,44,19,"1143537"
31,"spotify:track:4tRhRLBxIZ34Iw0eCuiC03","southstar","Miss You","Columbia/B1 Recordings",6,29,31,"1126589"
32,"spotify:track:28eI53WyFJVjjQwSnWTh9K","Ski Aggu, Dauner","Broker","Bamboo Artist & Label Services",32,-1,1,"1107391"
33,"spotify:track:5ZduaRci3iNUiDfJbBfAaf","Matt Sassari","Give It To Me - Full Vocal Mix","Cr2 Records",16,24,31,"1105854"
34,"spotify:track:4HkRGYJYn1Y99uXpqTyOI6","Milano, Eddin","Au Revoir","DEUX FRÈRES MUSIC",8,30,6,"1080236"
35,"spotify:track:28z6EGq7hL41nBLCny3U1e","CRO","Steht Mir","BMG Rights Management",35,-1,1,"1054036"
36,"spotify:track:5BfAcaTKnD5s6hkwrK6EhQ","Jamule","Normal zu lieben","Life Is Pain",6,15,4,"1050863"
37,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",2,42,46,"1047640"
38,"spotify:track:3rb0tMq42WfggucPm0HHkA","MEDUZA, James Carter, Elley Duhé, FAST BOY","Bad Memories (feat. Elley Duhé & FAST BOY)","Universal-Island Records Ltd.",17,35,28,"1025456"
39,"spotify:track:5WBJoNzyDtXLPR60EZIIeA","Pajel, KALIM","16","Epic/DOPE",4,21,5,"1021400"
40,"spotify:track:4lkLzhx8zsVIdNd1WANxuA","Bonez MC, Gzuz","YumYum","187 Strassenbande",5,28,4,"1012718"
41,"spotify:track:3i5mGA6jZN6Mk8bmcE7Jbz","Ufo361","NUR SIE DARF","Stay High",41,-1,1,"1002588"
42,"spotify:track:5ucyKDPjLpYLGadsRO1wSB","DJ Robin, Schürze","Layla","Polydor x Island Records & Kontor New Media & Summerfield Records",1,57,41,"1001661"
43,"spotify:track:4sx6NRwL6Ol3V6m9exwGlQ","The Kid LAROI","LOVE AGAIN","Columbia",26,26,3,"993678"
44,"spotify:track:5xX2LYdXyx0Boa61rZOjq5","Luciano","Beautiful Girl","URBAN",1,38,42,"986950"
45,"spotify:track:6m07skx9DWbciQr2UwnmHS","Veysel, Haftbefehl, Juh-Dee","GLAS VOLL (feat. Haftbefehl & Juh-Dee)","Bela Boyz",45,-1,1,"979757"
46,"spotify:track:54eE5H6F1HhyM5L4fRLq8s","Loi","Gold","VOLKSMUSIC/WM Germany",46,51,5,"960055"
47,"spotify:track:5YdnOm5990Kfq1Jodws98B","Felix Jaehn, Ray Dalton","Call It Love","Virgin",12,43,21,"958792"
48,"spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M","Apache 207","Roller","Four Music Local",1,45,182,"956550"
49,"spotify:track:5CGPOGyyF3XvyQwyqlJH0P","Nina Chuba, Chapo102","Ich hass dich","Jive",7,34,19,"949953"
50,"spotify:track:7lkYdyKCN44Lc5saKwIGhP","The Cratez, Sido, Kontra K, Montez","Spät nach Haus","GOLD LEAGUE/RBK",3,36,6,"933993"
51,"spotify:track:1kKvfCmzXzRcfszwQrXFPM","AYLIVA","Bei Nacht","Whiteheart Records/WM Germany",11,40,21,"932038"
52,"spotify:track:6UN73IYd0hZxLi8wFPMQij","Coi Leray","Players","Uptown / Republic Records",52,74,6,"926070"
53,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",41,49,24,"898026"
54,"spotify:track:3PBPLps3EbPjBSSOpKmJ8J","Florian Künstler","Kleiner Finger Schwur","Electrola",36,50,7,"895591"
55,"spotify:track:6nYJWAPKIJfXIKtiYc4P4O","Restricted","Big Jet Plane","Island Germany",55,62,6,"886449"
56,"spotify:track:4tQA4uDHh6iPaQLWaxeQqH","Mayberg","Endlos_demo","Mayberg",19,31,5,"881702"
57,"spotify:track:5qEGAHerczFt3HmL9lhh4j","Miksu / Macloud, makko","Nachts wach (Lila Wolken Bootleg)","Futura",5,46,25,"864844"
58,"spotify:track:0JXXNGljqupsJaZsgSbMZV","Miguel","Sure Thing","Jive",32,47,6,"858956"
59,"spotify:track:35DkXhxqTMiQB582tfjowU","Ion Miles, SIRA, BHZ","Powerade","Sony Music/BHZ",2,63,43,"853976"
60,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",60,-1,1,"847439"
