rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:31nfdEooLEq7dn3UMcIeB5","BENNETT","Vois sur ton chemin - Techno Mix","Warner Music Central Europe",1,2,16,"2716790"
2,"spotify:track:6FGPpwHlUBnl0TLGKyN4Nl","Bonez MC","Fussballer ⚽️","187 Strassenbande",2,-1,1,"2691391"
3,"spotify:track:2HafqoJbgXdtjwCOvNEF14","iñigo quintero","Si No Estás","Acqustic",1,1,8,"2632131"
4,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",1,5,10,"2514995"
5,"spotify:track:59NraMJsLaMCVtwXTSia8i","cassö, RAYE, D-Block Europe","Prada","Ministry of Sound Recordings",2,7,15,"2431825"
6,"spotify:track:6WbDwAoc5xr0kFflHZW0A4","Amaru, Gringo Bamba","Blonde Chaya - Sped Up","UME - Global Clearing House",4,6,7,"2219082"
7,"spotify:track:4mVnqNiw2Kf5AHj9j0KD6u","RAF Camora, Ski Aggu","Liebe Grüsse","Indipendenza",1,4,4,"2199700"
8,"spotify:track:1TqC60H8LMZc4Gi4M56t6m","Kontra K, SANTOS","Die Sonne","Letzte Wölfe",3,3,2,"2079515"
9,"spotify:track:5mjYQaktjmjcMKcUIcqz4s","Kenya Grace","Strangers","Warner Records/Major Recordings",2,9,12,"2066734"
10,"spotify:track:3an1JVi8OsE0aG6dMS4Pes","AYLIVA","Hässlich","Whiteheart Records/WM Germany",1,10,13,"2037419"
11,"spotify:track:06qMRF18gwbOYYbnP2du6i","Wham!","Last Christmas - Single Version","Sony Music CG",1,25,46,"1966602"
12,"spotify:track:0bYg9bo50gSsH3LtXe2SQn","Mariah Carey","All I Want for Christmas Is You","Columbia",1,27,47,"1943634"
13,"spotify:track:2ehr9UaqyQOXJihoJ7lg3l","Hava","Ja sagen","Hypnotize Entertainment",13,-1,1,"1917100"
14,"spotify:track:4xhsWYTOGcal8zt0J161CU","Jack Harlow","Lovin On Me","Generation Now/Atlantic",14,35,2,"1774890"
15,"spotify:track:5YWu6dt50Nieq8qi572RF8","SIRA, Bausa, badchieff","9 bis 9","Four Music/SIRA",2,12,28,"1735148"
16,"spotify:track:3ilgxZl5g7MOQCUiky3VOG","Pashanim","Ms. Jackson","Urban",1,11,13,"1724323"
17,"spotify:track:7oQepKHmXDaPC3rgeLRvQu","Udo Lindenberg, Apache 207","Komet","Warner Music Central Europe",1,13,44,"1656269"
18,"spotify:track:56y1jOTK0XSvJzVv9vHQBK","Doja Cat","Paint The Town Red","Kemosabe Records/RCA Records",1,14,16,"1524045"
19,"spotify:track:7AOJcugo17Kr1WUheSI6Oq","Luca-Dante Spadafora, Niklas Dee, Octavian, Peter Plate, Ulf Leo Sommer","Mädchen auf dem Pferd","Zeitgeist",1,16,26,"1428612"
20,"spotify:track:0QHtFTFvw7wYIqJUlFaLRQ","Azet","Handy brennt…","FastLife Records/Warner Music Central Europe",20,-1,1,"1413752"
22,"spotify:track:5jGcOhXpPE07vrSe23198B","Luciano, Morad","Familia (feat. Morad)","URBAN",8,8,2,"1361750"
23,"spotify:track:2TE4xW3ImvpltVU0cPcKUn","Shakin' Stevens","Merry Christmas Everyone","Sony Music CG",3,65,39,"1312860"
24,"spotify:track:0kEO3qtCCZN8S42RdL1fp2","BHZ, Monk, Ion Miles","Crash Dummy","BHZ",20,21,3,"1302638"
25,"spotify:track:0qo8YDKpPXlUQqp0vesiln","reezy","14 PASSENGER","Four Music/Teenager Forever",2,15,5,"1254370"
26,"spotify:track:7uoFMmxln0GPXQ0AcCBXRq","Sia","Snowman","Monkey Puzzle/Atlantic",8,64,25,"1239224"
27,"spotify:track:2EbO8k2jAHVRMVvUB77nNt","AYLIVA","Weißes Haus","Whiteheart Records/WM Germany",4,29,19,"1234831"
28,"spotify:track:52Y1KkbSO4LI9MTCvZhP9Y","AYLIVA","Scheine zählen","Whiteheart Records/WM Germany",10,38,13,"1230163"
29,"spotify:track:5Y8mnPgyb9hOJxY1M0OJdx","Sonny Wern, Lyente, Quinten Circle, ZANA","Dance For Me (1, 2, 3) - Stutter Techno","Virgin",24,24,6,"1196126"
30,"spotify:track:4OMJGnvZfDvsePyCwRGO7X","Dua Lipa","Houdini","Warner Records",18,18,2,"1156383"
31,"spotify:track:4yNWhBYneGn8Gvr7Y3ciqf","Liaze, equal","2003","23HOURS, BMG Rights Management GmbH",12,23,5,"1151010"
32,"spotify:track:1VxlVMCopT232hOcBVybyj","AYLIVA","Lass mich gehen","Whiteheart Records/WM Germany",13,37,13,"1144706"
33,"spotify:track:0ya0fBUHF1TKookyKM5ZVQ","Jazeek","Take it","NINETYNINE MUSIC x Good Kid Records x VENTURA Records",16,26,9,"1136680"
34,"spotify:track:4kcgrgZhd4h8chSAJ86mIq","erobé, KXXMA, Lyfrix","EWIGKEIT - REMIX","Off Tape Records & Polydor x Island Records",9,28,18,"1128064"
35,"spotify:track:1odExI7RdWc4BT515LTAwj","David Kushner","Daylight","Miserable Music Group, LLC",3,31,32,"1120489"
36,"spotify:track:2FiJGvN3fiXMwms9IftNV0","FiNCH, Tream","LiEBE AUF DER RÜCKBANK","Walk This Way Records",17,32,25,"1110063"
37,"spotify:track:4rSmXn2TIKt6iBeBDM4uOs","Luciano, Gzuz","2 Germans (feat. Gzuz)","URBAN",5,22,4,"1073089"
38,"spotify:track:6vJMq94wRS6oqKV2jggzMc","Kontra K, Lana Del Rey","Summertime","Letzte Wölfe",1,20,15,"1056633"
39,"spotify:track:0QlOkt8nkZ8zqu8xb2SHU8","Niklas Dee, Old Jim, Enny-Mae","Not Fair","Astralwerks",5,36,24,"1056572"
40,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",10,39,142,"1053367"
41,"spotify:track:0lizgQ7Qw35od7CYaoMBZb","Ariana Grande","Santa Tell Me","Universal Records",6,82,41,"1045815"
42,"spotify:track:6XVSsVuzVUZ2zgRWB5xwef","AYLIVA","In deinen Armen","Whiteheart Records/WM Germany",3,54,23,"1031785"
43,"spotify:track:0HD8mbiPjp3o94X3EaZp0o","Tate McRae","exes","RCA Records Label",43,-1,1,"1022081"
44,"spotify:track:3AjSfp5FDvwtMU9XBsbS8j","Creeds","Push Up - Main Edit","Columbia/B1 Recordings",12,41,32,"999412"
45,"spotify:track:2uFaJJtFpPDc5Pa95XzTvg","Dean Martin","Let It Snow! Let It Snow! Let It Snow!","Capitol Records",10,147,29,"993236"
46,"spotify:track:0dEvVBg3ArnuJ9WBnPzOcj","Niclov, Baron","Feuer Wasser Sturm","Four Music Local",11,34,10,"981401"
47,"spotify:track:3ThmZJ7LQ3C20FpxU5kXJB","Bobby Vandamme","BANDIT","RCA/GOLD LEAGUE/GOVA Ent.",17,17,2,"980623"
48,"spotify:track:3XqM8hLCEYlbnFjoWwqtFv","Chris Brown","Angel Numbers / Ten Toes","Chris Brown Entertainment/RCA Records",48,182,2,"969778"
49,"spotify:track:6KiPf8zHwaBK7VMHZZ1ReL","Ellice","ANGST>LIEBE","Embassy of Music",19,30,6,"951568"
50,"spotify:track:3nAp4IvdMPPWEH9uuXFFV5","Kelly Clarkson","Underneath the Tree","RCA Records Label",10,130,37,"931684"
51,"spotify:track:5aIVCx5tnk0ntmdiinnYvw","Tyla","Water","FAX Records/Epic",27,33,10,"927339"
52,"spotify:track:3dgOu83QnvkooEa4Jz2Msr","Jazeek","Superstars","NINETYNINE MUSIC x Good Kid Records x VENTURA Records",27,51,21,"924378"
53,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",32,44,22,"916534"
54,"spotify:track:1rv46mRwDqMEhOBZ7vODg3","Michael Bublé","It's Beginning to Look a Lot like Christmas","Reprise",4,134,39,"912424"
55,"spotify:track:6JUeZ04YG6WIy937AgIPsR","AYLIVA, MERO","Sie weiß (feat. Mero)","Whiteheart Records/WM Germany",1,59,46,"911522"
56,"spotify:track:4evyMjgTKhrBfggfxFRAKr","YAKARY","KETAMIN","Life is Pain",33,48,14,"889829"
57,"spotify:track:2grS8y9w2vVp7sDJ3RnSx9","twocolors, Safri Duo, Chris de Sarandy","Cynical","Virgin",26,45,19,"883064"
58,"spotify:track:7MCNurIGh8Hg9SYaCPP9vv","SDP, IIVEN, NESS","Ich will nur dass du weißt - IIVEN Remix","Nur Musik Ist Schöner",29,42,16,"882808"
59,"spotify:track:42Ztw2ZtZR3mtWjXpg0R5I","Yung Yury, Damn Yury","TABU.","5Zero",1,52,33,"873628"
60,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",4,58,59,"836824"
61,"spotify:track:559mLg44MrcA7JzYGbpXfL","MilleniumKid, JBS","Vielleicht Vielleicht","Warner Music Central Europe",61,86,4,"835577"
62,"spotify:track:6QZ7IptsMdWodN4uFuXNkv","1986zig","Meine 1","Polydor x Island Records & Good Kid Records",26,40,6,"833383"
63,"spotify:track:6p1GHnHSJSma1orNgP7NoE","Bobby Helms","Jingle Bell Rock","Geffen",6,172,34,"821843"
64,"spotify:track:6wm7nuIQTOjviSpkk22F87","Symba","Jerry & Tom","Columbia/Symba",64,-1,1,"817633"
65,"spotify:track:0fq2RzyyUoqELsONRF8ZzP","Ski Aggu, SIRA","mietfrei","Bamboo Artist & Label Services",4,56,19,"810620"
66,"spotify:track:27qAMKrDdKEs8HDXcvR24R","Chris Rea","Driving Home for Christmas","Rhino",3,181,37,"810401"
67,"spotify:track:0fvt4b25fFbUPMdmj52PUB","Olexesh","Bin dabei","385ideal",67,-1,1,"805014"
68,"spotify:track:5RKvst7SDOCTWGlLcF6kSE","01099, Paul, Ski Aggu","Anders","01099/WM Germany",7,55,31,"782887"
69,"spotify:track:0SvD6EdetxVtXei2JhkV4B","Melanie Thornton","Wonderful Dream (Holidays Are Coming) - Radio Version","X-cell Records",5,-1,36,"776189"
70,"spotify:track:5oan5ML0mGJjh1Bx6oTFIs","Kontra K, Clueso","Weiche Kissen","Letzte Wölfe",20,43,5,"773232"
71,"spotify:track:3hRV0jL3vUpRrcy398teAU","Lord Huron","The Night We Met","IAMSOUND",71,72,26,"761303"
72,"spotify:track:1nIfneoBS1iYRcdWPYqgq4","Madeline Juno, 1986zig","Versprich mir du gehst","Embassy of Music",72,-1,1,"760444"
73,"spotify:track:3FkKvUfVnxmxdHrXwuI5vx","Bausa, LEA","1000 Mal","A Million Music/WM Germany",26,61,8,"751851"
74,"spotify:track:1JgknGBbrfmEHeOZH051SS","SUICIDAL-IDOL","ecstacy (slowed)","AVR",37,57,10,"749466"
75,"spotify:track:1Iq8oo9XkmmvCQiGOfORiz","Taylor Swift","Is It Over Now? (Taylor's Version) (From The Vault)","Taylor Swift",23,53,4,"744901"
76,"spotify:track:22skzmqfdWrjJylampe0kt","Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton","Can't Hold Us (feat. Ray Dalton)","Macklemore",43,76,161,"744884"
77,"spotify:track:7Mn6Tisa1wVvYusahnvjE5","Sosa La M","Enchanté","GOLD LEAGUE",13,50,10,"742292"
78,"spotify:track:2LCoh1sop5AYzRBVDHFoiK","badmómzjay, Kool Savas","Airplanes","Vertigo Berlin",11,63,11,"737073"
79,"spotify:track:17NHXI2CJp7KgdcwcDnRx4","Marnik, Naeleck, VINAI","Boyz In Paris (with VINAI)","Signatune",54,71,15,"734991"
80,"spotify:track:1kKvfCmzXzRcfszwQrXFPM","AYLIVA","Bei Nacht","Whiteheart Records/WM Germany",11,97,53,"729665"
81,"spotify:track:1udwFobQ1JoOdWPQrp2b6u","JID, 21 Savage, Baby Tate","Surround Sound (feat. 21 Savage & Baby Tate)","Dreamville/Interscope",81,192,2,"728639"
82,"spotify:track:3Me5bYXeDXqjBVgug53Ula","LIZOT, KYANU","This Is The Life","Zeitgeist",82,121,3,"725745"
83,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",2,73,65,"723021"
84,"spotify:track:7zhRYYYqtKqWEtPUcc4YSF","Paula Hartmann","Candy Crush","Four Music/Himbeertoni",84,-1,1,"716139"
85,"spotify:track:6fsbuVwtZHq8bCfUOfmkNL","Apache 207","Breaking your heart","Four Music/Feder Musik",2,67,34,"713202"
86,"spotify:track:4rXLjWdF2ZZpXCVTfWcshS","Gunna","fukumean","300 Entertainment",10,69,23,"711235"
87,"spotify:track:3vkCueOmm7xQDoJ17W1Pm3","Mitski","My Love Mine All Mine","Dead Oceans",79,79,6,"706967"
88,"spotify:track:7b8Z1GU2plJy3aASZTiolF","Ski Aggu, Joost, Otto Waalkes","Friesenjung","Bamboo Artist & Label Services",1,70,26,"705626"
89,"spotify:track:17cia5k4BpGVlyEfqrFH50","Olivia Rodrigo","Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes","Lions Gate Entertainment Inc. under exclusive license to Geffen Records",89,-1,2,"702993"
90,"spotify:track:2EjXfH91m7f8HiJN1yQg97","Brenda Lee","Rockin' Around The Christmas Tree","MCA Nashville",6,-1,27,"694093"
91,"spotify:track:5UkfwMmjdSj6wfwsWBHQRm","Berq","Rote Flaggen","Urban",91,99,4,"691903"
92,"spotify:track:0Ydt7UQxxHmFdZGOROCcza","MADE, CALI, Kenan, Infinit","Ma Jolie","MADE Entertainment",59,62,3,"691116"
93,"spotify:track:2hFOXN8Eq2gXIGGMIdHdWJ","Ski Aggu, Endzone, Ericson","Party Sahne","jungeratze",24,74,59,"690729"
94,"spotify:track:6LBmaJYwbLHfQwIreMCLlw","Nina Chuba","Wildberry Lillet","Jive",1,84,67,"683527"
95,"spotify:track:2siKpBqjCCIsOFf5L4AqoR","Leony, Niklas Dee, VIZE","I Can Feel","Kontor Records",63,68,7,"678262"
96,"spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M","Apache 207","Roller","Four Music Local",1,89,222,"668669"
97,"spotify:track:4435fA5QuCvrXXZRcgDsxp","HE/RO, NESS","Jetzt weinst du","Columbia Local",80,80,2,"668516"
98,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",45,88,152,"666362"
99,"spotify:track:1F1I723SHQdXwyekuEvVvc","Shirin David","Periodt","Juicy Money Records",99,-1,1,"662653"
100,"spotify:track:2YSzYUF3jWqb9YP9VXmpjE","Drake, Yeat","IDGAF (feat. Yeat)","OVO/Republic",20,102,7,"658176"
101,"spotify:track:5qEGAHerczFt3HmL9lhh4j","Miksu / Macloud, makko","Nachts wach (Lila Wolken Bootleg)","Futura",5,83,65,"655348"
102,"spotify:track:73JHeIhYKRV1c6RI4ZXsjW","Ski Aggu","MAXIMUM RIZZ","Bamboo Artist & Label Services",17,75,8,"653205"
103,"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","Linkin Park","In the End","Warner Records",15,93,242,"649697"
104,"spotify:track:3IhM5Mber8KA0NaRNpK2px","Tiësto","Lay Low","Atlantic Records",12,103,46,"637137"
105,"spotify:track:1vYXt7VSjH9JIM5oRRo7vA","Dua Lipa","Dance The Night - From Barbie The Album","Atlantic Records",15,85,24,"630891"
106,"spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q","Billie Eilish","What Was I Made For? [From The Motion Picture ""Barbie""]","Darkroom/Interscope Records",9,90,19,"630800"
107,"spotify:track:7DSAEUvxU8FajXtRloy8M0","Miley Cyrus","Flowers","Columbia",1,96,45,"626698"
108,"spotify:track:45FaCrE0gyUT9QC0xc4fEx","ART","Belgisches Viertel","23HOURS",10,91,102,"622765"
109,"spotify:track:2cJsBA3fbleMmnlveGVBlo","Lune, CÉLINE","Komm in meine Arme","Columbia/Lune Records",15,81,8,"619848"
110,"spotify:track:7xapw9Oy21WpfEcib2ErSA","Justin Bieber","Mistletoe","RBMG/Def Jam",14,-1,27,"616803"
111,"spotify:track:3bK1zVFBKIzYjmptmI4NsJ","Ofenbach, Norma Jean Martine","Overdrive (feat. Norma Jean Martine)","Elektra France",111,-1,1,"616088"
112,"spotify:track:3FcqFCeCD6QRtRo6WGLCnC","Alligatoah","Willst du","Trailerpark",112,132,34,"615386"
113,"spotify:track:5HsrYtb503rCCWyZvGtf4v","Endzone, TM","61 Grad (Deep House RMX)","2Live Entertainment",36,110,75,"612734"
114,"spotify:track:1DmW5Ep6ywYwxc2HMT5BG6","Loreen","Tattoo","Universal Music AB",12,101,28,"609519"
115,"spotify:track:4oodd2Z1U6Xg5tWMiUb3DN","MilleniumKid, JBS, The Boy The G","Unendlichkeit (Remix)","Warner Music Central Europe",115,117,4,"608862"
116,"spotify:track:0Ku0BoIMWmwcvKm8mOMrki","Mikael","Auf dem Weg","Mika x Ventura Records",56,92,8,"608753"
117,"spotify:track:2nLtzopw4rPReszdYBJU6h","Linkin Park","Numb","Warner Records",29,108,69,"606482"
118,"spotify:track:7xaqxUl08zOg0YNUHokQpq","Miksu / Macloud, t-low","Sehnsucht","Futura",1,111,90,"603822"
119,"spotify:track:5ZduaRci3iNUiDfJbBfAaf","Matt Sassari","Give It To Me - Full Vocal Mix","Cr2 Records",16,116,71,"597422"
120,"spotify:track:1SV1fxF65n9NhRHp3KlBuu","Paul McCartney","Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney Catalog",6,-1,35,"597118"
121,"spotify:track:7AyE8MRf4dIK75mqqpks9S","Nina Chuba","Mangos mit Chili","Jive",4,125,42,"594376"
122,"spotify:track:6XcLbPun5dB41r6lOEVs7F","Tream, treamiboii","ICH WILL NICHT, DASS DU GEHST","3AM MUSIC",122,-1,1,"593840"
123,"spotify:track:4Ww41FseIYOCL0qP6MIGG5","Luciano","Cold Princess","URBAN",10,77,6,"591964"
124,"spotify:track:27RYrbL6S02LNVhDWVl38b","John Lennon, Yoko Ono","Happy Xmas (War Is Over) - Remastered 2010","EMI Catalogue",9,-1,35,"583436"
125,"spotify:track:2toCf2FDbTIdWriPI6kcsY","Nina Chuba, Chapo102","Ich hass dich","Jive",7,169,59,"583351"
126,"spotify:track:2FDTHlrBguDzQkp7PVj16Q","Dave, Central Cee","Sprinter","Neighbourhood / Live Yours",12,109,25,"582791"
127,"spotify:track:5wQyLDy36ihxX69E7JBi4L","Cleffy","Meet you at the Graveyard","Mercury Records / Republic Records",120,120,5,"578593"
128,"spotify:track:6R5iuYqG0HsnC41RT3lzqX","BHZ, Big Pat, Ion Miles","Aperitif","BHZ",128,-1,1,"572651"
129,"spotify:track:5cHPMo64nOHGBORMiHRAHk","Jazeek","Fühlst du","NINETYNINE MUSIC x Good Kid Records x VENTURA Records",34,78,3,"567620"
130,"spotify:track:1kuGVB7EU95pJObxwvfwKS","Olivia Rodrigo","vampire","Olivia Rodrigo PS",12,138,21,"562496"
131,"spotify:track:04g4813XfiSFRpfD1eo67d","01099, Trettmann, Gustav, Zachi","In der Nacht","01099/WM Germany",16,46,3,"561533"
132,"spotify:track:35DkXhxqTMiQB582tfjowU","Ion Miles, SIRA, BHZ","Powerade","Sony Music/BHZ",2,135,83,"559968"
133,"spotify:track:7G2SsN4ZGxnye6WL8342gp","AYLIVA","Schwer zu lieben","Whiteheart Records/WM Germany",39,153,13,"557555"
