artist_id,artist_name,genres,gender,category
4Yttlv9ndGjCDCVLqM7ACq,Sido,"german hip hop,german pop",male,Solo Act
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,"big room,brostep,dutch edm,edm,house,pop dance,slap house,trance",male,Solo Act
28y5ZcfpdZAfeEE5ftCfUg,ÁSDÍS,,female,Solo Act
3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",male,Solo Act
3HkeiQiokrKJhhjZ9skb23,equal,,,Band
762310PdDnwsDxAQxzQkfX,Depeche Mode,"dance rock,new romantic,new wave,permanent wave,rock,synthpop",,Band
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,"r&b,rap",male,Solo Act
0b62itBWBdLgiecXjXCqKC,Maxwell,german hip hop,male,Solo Act
13bDjug9N0pyv3ZUINjkDV,Bausa,german hip hop,male,Solo Act
4sVieJlKgpZ2k9ESNS5IdN,Jamule,german hip hop,male,Solo Act
4NSzuIc0eGOftqr0tEOhJk,ClockClock,,,Band
7CXlqxbfckEDH2hQMjrGyZ,Phil Legg,,male,Solo Act
744jIBAAvzMa5eVtUZDxR1,Liaze,,,Solo Act
7GZJ2POiwPZoW7UVYjNj8i,Glockenbach,,,Band
3PhoLpVuITZKcymswpck5b,Elton John,"glam rock,mellow gold,piano rock,rock",male,Solo Act
03bmDyr8klGV17DKQnPZVA,Joshi Mizu,german hip hop,male,Solo Act
2Diqn1jFkehRd9MVDGKGdq,Eddin,german hip hop,male,Solo Act
7ACEUD7UsmmXrnj4OLt8f9,twocolors,"edm,pop dance,pop edm",,Band
4MvZhE1iuzttcoyepkpfdF,ThxSoMch,bedroom r&b,male,Solo Act
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,"gauze pop,indietronica,modern rock,pov: indie,shiver pop",,Band
1SnSPHBs8l5iAvoWF0aO05,FOURTY,"german hip hop,german r&b,german trap",male,Solo Act
4zvLVP1siaenGVnUBDo2nt,Daniel Miller,,male,Solo Act
6n28c9qs9hNGriNa72b26u,PNAU,"alternative dance,aussietronica,australian dance,australian electropop",,Band
77puYb4Nubacm3PAzkY1UQ,Julian Sommer,partyschlager,male,Solo Act
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,"dance pop,pop,uk pop",female,Solo Act
2p1fiYHYiXz9qi0JJyxBzN,Skepta,"birmingham grime,grime,instrumental grime,uk hip hop",male,Solo Act
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,"hip hop,ohio hip hop,pop rap,rap",male,Solo Act
0Dvx6p8JDyzeOPGmaCIH1L,RAF Camora,german hip hop,male,Solo Act
46pWGuE3dSwY3bMMXGBvVS,Rema,"afrobeats,nigerian pop",,Band
4jsmk00NuPR1FfXqUCF1ac,treamiboii,,,Unknown
