rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5QW9K4A1gMnIi94YUxtsfM","Sachin-Jigar, Arijit Singh, Amitabha Bhattacharya","Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Saregama",1,1,2,"11880705"
2,"spotify:track:6Z4rRhYZVQsYKmrxD40tru","Riar Saab, Abhijay Sharma","Obsessed","Mass Appeal India, LLC",2,4,5,"9328083"
3,"spotify:track:46hzNOUOAlivuCZZ0wE3zi","Sachin-Jigar, Varun Jain, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya","Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Saregama",3,23,2,"7722025"
4,"spotify:track:0czcoKJbJt08NqKrvSbbz7","Pritam, Arijit Singh, Amitabh Bhattacharya","O Bedardeya (From ""Tu Jhoothi Main Makkaar"")","T-Series",1,2,13,"5668836"
5,"spotify:track:1418IuVKQPTYqt7QNJ9RXN","King","Maan Meri Jaan","Warner Music India",1,3,34,"5107450"
6,"spotify:track:4UMIv5jd9gK98a39BQRD9X","Pritam, Arijit Singh, Amitabh Bhattacharya","Kesariya","Sony Music Entertainment India Pvt. Ltd.",1,5,47,"4882948"
7,"spotify:track:73K33p4Vyz9koXGqmL5eFs","Sachet Tandon, Parampara Tandon, Kumaar, Sachet-Parampara","Malang Sajna","T-Series",4,8,20,"4771303"
8,"spotify:track:6oz1L5jcqZWYuId7nxvIan","Shubh","Still Rollin","SHUBH",8,36,3,"4391215"
9,"spotify:track:4VsP4Dm8gsibRxB5I2hEkw","Kaifi Khalil","Kahani Suno 2.0","1944121 Records DK",1,7,25,"4357797"
10,"spotify:track:6t7PuZfHAtNGheWisgUq3I","B Praak, Jaani","Kya Loge Tum","Universal Music India Pvt Ltd. – Distribution",10,10,3,"4092410"
11,"spotify:track:4blqlsA1uf2d2I40E90EUC","Pritam, Arijit Singh, Shilpa Rao","Tere Hawaale (From ""Laal Singh Chaddha"")","T-Series",11,11,15,"4019045"
12,"spotify:track:51DEaelXeJJ6cFFYbX8Hal","Javed-Mohsin, Vishal Mishra, Shreya Ghoshal","Zihaal e Miskin","Universal Music India Pvt Ltd.",12,60,2,"3994070"
13,"spotify:track:2ZD4aIEepqZsdxPxLSuUhm","Pritam, Arijit Singh, Amitabh Bhattacharya, Nikhita Gandhi","Tere Pyaar Mein","T-Series",5,9,18,"3868381"
14,"spotify:track:2FCXQHugkoHE1K3tiDu8pu","Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")","T-Series",4,6,210,"3854006"
15,"spotify:track:3wz2vWhYnnBoFmgMkqtzLy","Chani Nattan, Inderpal Moga","Daku","Kharku Life Records",5,14,42,"3580226"
16,"spotify:track:03yKEFruN3BS2coglBtt2N","Laddi Chahal, Parmish Verma, Gurlez Akhtar","Rubicon Drill","Parmish Verma Films",12,15,25,"3517197"
17,"spotify:track:6FAYpZ4jve8vpvTwUvjK6H","Vishal-Shekhar, Arijit Singh, Sukriti Kakar, Vishal Dadlani, Shekhar Ravjiani, Kumaar","Jhoome Jo Pathaan","YRF Music",3,13,24,"3459468"
18,"spotify:track:08Isz2ETWSBhvIl8UpKYsp","Shubh","No Love","SHUBH",2,18,65,"3452636"
19,"spotify:track:0yCWDaAgOtg6TKlNCg9rwA","King","Tu Aake Dekhle","Warner Music India",3,12,123,"3447759"
20,"spotify:track:2vPrBucKCfKmafHhSfJ2pt","Pritam, Arijit Singh, Amitabh Bhattacharya, Charan","Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")","T-Series",9,17,17,"3387842"
21,"spotify:track:42TMa2hgBNjte4uV7jNCnQ","Shubh, Ikky","Baller","SHUBH",2,16,39,"3371942"
