rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
63,"spotify:track:0tgVpDi06FyKpA1z0VMD4v","Ed Sheeran","Perfect","Atlantic Records UK",29,59,187,"1642856"
64,"spotify:track:2PvaburAUlhNHxVhw5lvOq","Arijit Singh","Humdard (From ""Ek Villain"")","T-Series",28,55,174,"1634506"
65,"spotify:track:3ZGJhN4unVspOqpwGvUL2W","Diljit Dosanjh","Lemonade","DILJIT DOSANJH",26,69,68,"1630565"
66,"spotify:track:3HiobOOpSpMsi95WBKPBYk","Jeet Gannguli, Arijit Singh","Hamari Adhuri Kahani (Title Track)","Sony Music Entertainment India Pvt. Ltd.",56,56,105,"1630125"
67,"spotify:track:6vPFDbyzSYWAL7r3Waa7BZ","Anirudh Ravichander","I'm Scared (From ""Leo"")","Sony Music Entertainment India Pvt. Ltd.",44,51,3,"1614064"
68,"spotify:track:2A4lcqTJZgUs1XrW6TSvt0","Rajat Nagpal, Yasser Desai, Rana Sotal","Hum Toh Deewane","PlayDMF",61,75,7,"1611339"
69,"spotify:track:3wz2vWhYnnBoFmgMkqtzLy","Chani Nattan, Inderpal Moga","Daku","Kharku Life Records",5,82,65,"1611083"
70,"spotify:track:29m79w9xPMH4YCD6r8JSmV","AP Dhillon, Gurinder Gill, Intense","Excuses","RUN-UP RECORDS",1,87,108,"1560397"
71,"spotify:track:6udC4b4jOSnHb9ItnXgKLR","Sachin-Jigar, Shreya Ghoshal, Tochi Raina","Saibo","Sony Music Entertainment India Pvt. Ltd.",31,63,159,"1556703"
72,"spotify:track:6V4N3h4HYD1Ask9cUTxjjg","Taimour Baig, Raffey Anwar, AUR","Long time no see","Universal Music MENA",66,66,4,"1550723"
73,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",48,77,53,"1533718"
74,"spotify:track:0ZcMt3GYvVkBjdomag59NP","Addy Nagar, Aniket Jain","Kaley Sheshe","Sony Music Entertainment India Pvt. Ltd.",54,58,6,"1532854"
75,"spotify:track:1AMD2AkfGrKoKhwkvYLbza","Sunny Yaduvanshi, AK Rok, Nitesh Ujoli","Yadav Brand 2","Flame Music",9,89,36,"1528220"
76,"spotify:track:5aMLADD1Ho6Ogq8s8mIzB9","Sachet-Parampara, Sachet Tandon, Parampara Tandon","Ram Siya Ram (From ""Adipurush"")","T-Series",11,137,24,"1512130"
77,"spotify:track:0l6g8Z8mqGbGXFOjigYetD","Pritam, Arijit Singh","Hawayein","Sony Music Entertainment India Pvt. Ltd.",51,67,110,"1498664"
78,"spotify:track:2IoZMG3RqiTmsy7Li3zGFg","Sachet Tandon, Parampara Tandon, Sachet-Parampara","Mere Sohneya (From ""Kabir Singh"")","T-Series",4,64,187,"1497392"
79,"spotify:track:0CtZpaOhtzvLV3FfcsVpQo","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Vishal Dadlani, Shekhar Ravjiani, Kumaar","Besharam Rang (From ""Pathaan"")","YRF Music",4,86,49,"1492652"
80,"spotify:track:32VAw8DL9ixX5XSW2VLcZ4","Parmish Verma, PARDHAAN, Desi Crew","Aam Jahe Munde","Parmish Verma Films",29,84,19,"1492067"
81,"spotify:track:7IYtJBm8eklA8ZLbQu0AIQ","Swati Mishra","Ram Ayenge","Swati Mishra",81,-1,1,"1480050"
82,"spotify:track:6Z4rRhYZVQsYKmrxD40tru","Riar Saab, Abhijay Sharma","Obsessed","Mass Appeal India, LLC",2,102,28,"1479894"
83,"spotify:track:6ZYxNjuAU9Vy3VtF6W1dtE","Shubh","We Rollin","SHUBH",10,92,103,"1476892"
84,"spotify:track:0FBQ4NrrHUbR9kus7rzrOj","Atif Aslam","Dil Diyan Gallan","YRF Music",78,80,196,"1472459"
85,"spotify:track:5oVm4nHsLXs8YenSJEVfhG","Diljit Dosanjh, thiarajxtt","Kinni Kinni","DILJIT DOSANJH",85,-1,1,"1467732"
86,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","Universal Republic Records",12,83,120,"1463228"
